Building,Area,province,Thai_District,District,Thai_Subdistrict,Owner,Construction,Map,Population,Latitude,Longtitude,Impact
Hospital/Healthcare,2256.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,นายเทอดศักดิ์ สุริยภูมิ,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Hospital/Healthcare,6544.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,จํากัด โดย นางสาวศศิธร เพียรธนภาคย์ นางวรีพร ดิสภานุรัตน์,New Build,17,78175,13.776667,100.579444,-4
Hospital/Healthcare,9858.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,โดย นายจุลเดช ยศสุนทรากุล นายศรีภาพ  สารสาส,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Office,76395.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท  วี.73 จำกัด  โดย นางชัชฎา มาลากุล ณ อยุธยา นางสาววีณา ไชยวรรณ,New Build,17,78175,13.776667,100.579444,-5
Office,119445.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,นายอุรุชา มหาดํารงค์กุล  นายองอาจ มหา ดํารงค์กุล,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Office,43.94,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท รุ่งโรจน์ธนกุล จำกัด โดยนายชาติชาย รุ่งโรจน์ธนกุล,New Build,17,78175,13.776667,100.579444,-5
Office,63.52,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,นายขจร เจียรวนนท์ นายสมเกียรติ วิภูษณมังคละ,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Office,2375.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,ทรรศนีย์ ภานุประภา นายคาร์ล ออพเพ,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Office,9.96,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,บริษัท เค ดี ดี ไอ (ประเทศไทย) จำกัด โดยนายชิเงะโอะ โคไซ,New Build,17,78175,13.776667,100.579444,-4
Condo,86500.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท  เซาท์อีสท์ ดีเวลล็อปเม้นท์ จํากัด โดย นายยู้ หว่า แซ่ลี,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Condo,3978.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท ทริปเปิ้ล เจ พร็อพเพอร์ตี้ จำกัด  โดย นางสาวจิลดา เจียวธนะกานนท์,New Build,17,78175,13.776667,100.579444,-5
Condo,8.30,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท รุ่งโรจน์ธนกุล จำกัด โดยนายชาติชาย รุ่งโรจน์ธนกุล,New Build,17,78175,13.776667,100.579444,-5
Condo,31877.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,บริษัท สิริ สมาร์ท ทู จำกัด โดย นายอุทัย แสงสุข นางสาววรางคณา อัครสถาพร,New Build,17,78175,13.776667,100.579444,-4
Condo,22122.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท สิริพฒน์ ไนน์ จํากัด โดย นายอภิชาติ  จูตระกูล นายวันจักร์ บุรณศิริ,New Build,17,78175,13.776667,100.579444,-5
Condo,132.62,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,นายกิตติศักดิ์ วงศ์วิสุทธิ์ นายติง โปไก,New Build,17,78175,13.776667,100.579444,-5
Entertainment,349822.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท พระราม9 สแควร์ จำกัด โดย นาย ปรีชา เอกคุณากูล นางสาวนภารัตน์ ศรีวรรณวิทย์,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Hotel,59.64,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท เอพี ไพร์ม พร็อพเพอร์ตี้ี จำกัด โดยนายอภิชัย เตชะอุบล,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Hotel,3742.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท สยามเครื่องดื่ม น็อนแอลกอฮอล์ จํากัด โดย นายทวีวฒน์ หลายพิทกษ์สิน,Adapt/Renovate,17,78175,13.776667,100.579444,-5
Hotel,4938.00,Bangkok,ห้วยขวาง,Huai Khwang,สามเสนนอก,บริษัท พีวี แกรนด์ วิสตอม จำกัด โดย นายวี ระพงษ์ วงศ์ประเสริฐกุล,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Hotel,2.94,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,บริษัท มอนทานา ดีเวลลอปเม้นท์ จำกัด โดนนายประทักษ์ วนาเศรษฐี,Adapt/Renovate,17,78175,13.776667,100.579444,-4
Education/School,9825.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,คณะพลังงานสิ่งแวดล้อมและวัสดุ,Unclassified,17,78175,13.776667,100.579444,-4
Hospital/Healthcare,5084.00,Bangkok,บางคอแหลม,Bang Kho Laem,บางโคล่,บริษัท ศรนย์การแพทย์ จำกัด  โดย นาย ศรณย์ วรรณจํารสั,New Build,31,94956,13.693333,100.5025,0
Hospital/Healthcare,19017.00,Bangkok,วังทองหลาง,Wang Thonglang,วังทองหลาง,เอกสถิตย์พงษ์ สุขิมล พันตํารวจเอกธรรมนิธิ  วนิชย์ถนอม,Adapt/Renovate,45,114768,13.7864,100.6087,-1
Hospital/Healthcare,19017.00,Bangkok,วังทองหลาง,Wang Thonglang,วังทองหลาง,เอกสถิตย์พงษ์ สุขิมล พันตํารวจเอกธรรมนิธิ  วนิชย์ถนอม,Adapt/Renovate,45,114768,13.7864,100.6087,-1
Hospital/Healthcare,9.99,Bangkok,ราษฎร์บูรณะ,Rat Burana,บางปะกอก,บริษัท โรงพยาบาล บีพีเค จำกัด โดยนางเจรียง จันทรกมล นายพณะ จันทรกมล,Adapt/Renovate,24,86695,13.682222,100.505556,-1
Hospital/Healthcare,65.29,Bangkok,ราษฎร์บูรณะ,Rat Burana,บางปะกอก,นายพิทยา จันทรกมล นางเจรียง จันทรกมล,New Build,24,86695,13.682222,100.505556,-1
Hospital/Healthcare,2726.00,Bangkok,บางบอน,Bang Bon,บางบอน,บริษัท โรงพยาบาลบางปะกอก 8 จํากัด โดย นายพิทยา จนทรกมล นายพณะ จันทรกมล,Adapt/Renovate,50,105161,13.6592,100.3991,0
Hospital/Healthcare,19.02,Bangkok,วังทองหลาง,Wang Thonglang,วังทองหลาง,บริษัท บ้านบึงเวชกิจ จำกัด โดยพลโททวีศักดิ์ ทวีศรี นายธีรพล โตพันธานนท์,Adapt/Renovate,45,114768,13.7864,100.6087,-1
Hospital/Healthcare,44.00,Bangkok,ราษฎร์บูรณะ,Rat Burana,ราษฎร์บูรณะ,มูลนิธิเทพสิริ โดยนายชลิต เชียรวิชัย,New Build,24,86695,13.682222,100.505556,-1
Hospital/Healthcare,118.09,Bangkok,คลองเตย,Khlong Toei,คลองเตย,ตระกูลกมลวิศิษฎ์ นางสาวตระการตา กมลวิศิษฎ์,New Build,33,109041,13.708056,100.583889,-4
Hospital/Healthcare,3.67,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,นายธีระชัย วรัญญรัตนะ นางพิมพิดา วรัญญรัตนะ,Adapt/Renovate,39,81623,13.742222,100.585833,-4
Hospital/Healthcare,2255.00,Bangkok,ทวีวัฒนา,Thawi Watthana,ทวีวัฒนา,นางสาวพะเยาว์ จิตกระโชติ,New Build,48,76351,13.7878,100.3638,0
Hospital/Healthcare,44286.00,Bangkok,จตุจักร,Chatuchak,ลาดยาว,บริษัท โรงพยาบาลวิภาวดี จํากดั  (มหาชน) โดยนางสาวปิติมน ตะเคียน (ผู้รับมอบอํานาจ),Adapt/Renovate,30,160906,13.828611,100.559722,-4
Hospital/Healthcare,14947.00,Bangkok,จตุจักร,Chatuchak,ลาดยาว,บริษัท โรงพยาบาลวิภาวดี จํากดั  (มหาชน) โดยนางสาวปิติมน ตะเคียน (ผู้รับมอบอํานาจ),Adapt/Renovate,30,160906,13.828611,100.559722,-4
Hospital/Healthcare,2238.00,Bangkok,ตลิ่งชัน,Taling Chan,ตลิ่งชัน,นายณภัทร พิศิษฐ์วิวรรธน์,Adapt/Renovate,19,106604,13.776944,100.456667,-2
Hospital/Healthcare,6950.00,Bangkok,ลาดพร้าว,Lat Phrao,ลาดพร้าว,ข้อดีมีสุข จำกัด โดย นายธนพลหวังธีระ,New Build,38,122182,13.803611,100.6075,-5
Hospital/Healthcare,9949.00,Bangkok,ตลิ่งชัน,Taling Chan,ตลิ่งชัน,บริษัท โรงพยาบาลศรีสวรรค์ จํากัด  โดย นายชวลิต วิมลเฉลา นางชุลีรตน์ วิมลเฉลา,New Build,19,106604,13.776944,100.456667,-2
Hospital/Healthcare,9.48,Bangkok,จอมทอง,Chom Thong,บางมด,บริษัท บางปะกอก ฮอสพิทอล กรุีป จำกัด โดยนายสยาม ฟุ้งอนันต์ (ผู้รับมอบอำนาจ),New Build,35,158005,13.677222,100.484722,0
Education/School,5035.00,Bangkok,สาทร,Sathon,ทุ่งมหาเมฆ,มูลนิธิคริสตจกรคณะแบ๊บติสต์ โดย นาย ธงชัย ประดบชนานุรตน์,New Build,28,84916,13.708056,100.526389,-4
Education/School,5394.00,Bangkok,ประเวศ,Prawet,ดอกไม้,นายวิวฒน์ สุวรรณนภาศรี,Adapt/Renovate,32,160671,13.716944,100.694444,-4
Education/School,9.89,Bangkok,สวนหลวง,Suan Luang,สวนหลวง,บริษัท เอ.จี.แอล.อินเตอร์เนชั่นแนล จำกัด โดยนายสวัสดิ์วงศ์ เรืองเมธานนท์,New Build,34,115658,13.730278,100.651389,-5
Education/School,5.06,Bangkok,ราษฎร์บูรณะ,Rat Burana,บางปะกอก,นายพิบูลย์ ยงศ์กมล,New Build,24,86695,13.682222,100.505556,-1
Education/School,3221.00,Bangkok,สะพานสูง,Saphan Sung,สะพานสูง,โดย นายกรูดิสถ์ จันทร์ชวาลา นางสาวดาริกา ลัทธพิพฒน์,New Build,44,89825,13.77,100.684722,-1
Education/School,2245.00,Bangkok,บางกะปิ,Bang Kapi,คลองจั่น,มูลนิธิพร้อมมิตร โดย นายวีรชัย   ชูประภา วรรณ,New Build,6,148465,13.765833,100.647778,-4
Education/School,7.77,Bangkok,ทวีวัฒนา,Thawi Watthana,ศาลาธรรมสพน์,บริษัท เพลินพัฒน์ จำกัด โดยนายทนง โชติสรยุทธ์ นายศีลวัต ศุษิลวรณ์,Adapt/Renovate,48,76351,13.7878,100.3638,0
Education/School,2849.00,Bangkok,คันนายาว,Khan Na Yao,คันนายาว,นางบุญชี ไตรรตน์รังษี,New Build,43,88678,13.8271,100.6743,0
Education/School,28156.00,Bangkok,บางนา,Bang Na,บางนา,บุนนาค หม่อมหลวงปริยดา ดิศกุล นายแอน โทนี ปีเตอร์ เบลค,New Build,47,95912,13.680081,100.5918,-5
Education/School,5946.00,Bangkok,บางนา,Bang Na,บางนา,บุนนาค หม่อมหลวงปริยดา ดิศกุล นายแอน โทนี ปีเตอร์ เบลค,Adapt/Renovate,47,95912,13.680081,100.5918,-5
Education/School,3435.00,Bangkok,บางนา,Bang Na,บางนา,บุนนาค หม่อมหลวงปริยดา ดิศกุล นายแอน โทนี ปีเตอร์ เบลค,Adapt/Renovate,47,95912,13.680081,100.5918,-5
Education/School,7910.00,Bangkok,วัฒนา,Watthana,พระโขนงเหนือ,แอนด์ เซ็กเคินเดอรี โดย นางภัทราดา ยม นาค,New Build,39,81623,13.742222,100.585833,-5
Education/School,9117.00,Bangkok,วัฒนา,Watthana,พระโขนงเหนือ,แอนด์ เซ็กเคินเดอรี โดย นางภทราดา ยม นาค,Adapt/Renovate,39,81623,13.742222,100.585833,-5
Education/School,2710.00,Bangkok,คลองสามวา,Khlong Sam Wa,สามวาตะวันตก,บริษัท เอ็นอีดี แมนเนจเม้นท์ จํากัด โดย นางสาวบังอร สมานคํา (ผู้รับมอบอํานาจ),Adapt/Renovate,46,169489,13.859722,100.704167,-1
Education/School,3500.00,Bangkok,คันนายาว,Khan Na Yao,คันนายาว,นางบูญชู ไตรรตน์รงษี,New Build,43,88678,13.8271,100.6743,0
Education/School,2348.00,Bangkok,สะพานสูง,Saphan Sung,สะพานสูง,โรงเรียนวิทยานนท์ โดย นายนทพล วิทยา นนท์,New Build,44,89825,13.77,100.684722,-1
Education/School,6322.00,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,โรงเรียนนานาชาติเอกมัย โดย นายนิรัติศัย อ้ายปั่น,New Build,39,81623,13.742222,100.585833,-5
Education/School,4107.00,Bangkok,คลองสามวา,Khlong Sam Wa,บางชัน,นางพรพิมล แซ่ซี่,Adapt/Renovate,46,169489,13.859722,100.704167,-1
Education/School,9930.00,Bangkok,คลองสามวา,Khlong Sam Wa,บางชัน,นางพรพิมล แซ่ซี่,Adapt/Renovate,46,169489,13.859722,100.704167,-1
Education/School,88506.00,Bangkok,บางนา,Bang Na,บางนา,บุนนาค หม่อมหลวงปริยดา ดิศกุล นายแอน โทนี่ ปีเตอร์ เบลค,Adapt/Renovate,47,95912,13.680081,100.5918,-5
Education/School,5419.00,Bangkok,บางนา,Bang Na,บางนา,บุนนาค หม่อมหลวงปริยดา ดิศกุล นายแอน โทนี่ ปีเตอร์ เบลค,Adapt/Renovate,47,95912,13.680081,100.5918,-5
Education/School,28156.00,Bangkok,บางนา,Bang Na,บางนา,บุนนาค หม่อมหลวงปริยดา ดิศกุล นายแอน โทนี่ ปีเตอร์ เบลค,Adapt/Renovate,47,95912,13.680081,100.5918,-5
Education/School,2.96,Bangkok,บางนา,Bang Na,บางนา,บริษัท มอนเตสเซอรี่ อินเทอร์แน็ชชันนัล (ไทยแลนด์) จำักด โดยนางธมน จิราธนันท์,Adapt/Renovate,47,95912,13.680081,100.5918,-5
Education/School,464.73,Bangkok,ประเวศ,Prawet,หนองบอน,บริษัท ซีคอน ดีเวลลอปเมนท์ จำกัด (มหาชน) โดยนางสาวณัฏฐ์ณิชชา โฆษภทรพิมพ์,Adapt/Renovate,32,160671,13.716944,100.694444,-4
Education/School,4.93,Bangkok,คลองสามวา,Khlong Sam Wa,บางชัน,มูลนิธิพุทธรงษี โดยนายซิงถิง ซือ,New Build,46,169489,13.859722,100.704167,-1
Education/School,9.15,Bangkok,วัฒนา,Watthana,พระโขนงเหนือ,บริษัท แอนด์ เซ็กเคินเดอรี่ โดยนางภัทราดา ยมนาค,New Build,39,81623,13.742222,100.585833,-5
Education/School,8.07,Bangkok,วัฒนา,Watthana,พระโขนงเหนือ,บริษัท แอนด์ เซ็กเคินเดอรี จำกัด โดยนางภัทราดา ยมนาค,New Build,39,81623,13.742222,100.585833,-5
Education/School,2227.00,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,นานาชาติแองโกลสิงคโปร์ สุขุมวิท31) โดย นายสมพงษ์ แซ่เล้า,New Build,39,81623,13.742222,100.585833,-5
Education/School,3416.00,Bangkok,ประเวศ,Prawet,หนองบอน,นางปารวดี เหตระกูล,Adapt/Renovate,32,160671,13.716944,100.694444,-4
Education/School,3125.00,Bangkok,ภาษีเจริญ,Phasi Charoen,บางหว้า,มหาวิทยาลัยสยาม โดย นายพรชัย มงคลวนัช,Adapt/Renovate,22,129827,13.714722,100.437222,-1
Education/School,3125.00,Bangkok,ภาษีเจริญ,Phasi Charoen,บางหว้า,มหาวิทยาลัยสยาม โดย นายพรชัย มงคลวนัช,Adapt/Renovate,22,129827,13.714722,100.437222,-1
Education/School,3139.00,Bangkok,ภาษีเจริญ,Phasi Charoen,บางหว้า,มหาวิทยาลัยสยาม โดย นายพรชัย มงคลวนัช,Adapt/Renovate,22,129827,13.714722,100.437222,-1
Education/School,9.52,Bangkok,บางคอแหลม,Bang Kho Laem,วัดพระยาไกร,โรงเรียนนานาชาติโชรส์เบอรี กรุงเทพ โดยนายจิระยุทธ์ มหัทธกุล,Adapt/Renovate,31,94956,13.693333,100.5025,0
Education/School,9.95,Bangkok,บางคอแหลม,Bang Kho Laem,วัดพระยาไกร,โรงเรียนนานาชาติโชรส์เบอรี กรุงเทพ โดยนายจิระยุทธ์ มหัทธกุล,Adapt/Renovate,31,94956,13.693333,100.5025,0
Education/School,23.56,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,บริษัท อัศวอินทรา จำกัด โดยนายฐิติเทพ เจียกเจิม,Adapt/Renovate,39,81623,13.742222,100.585833,-5
Education/School,3957.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,โรงเรียนนานาชาติเอกมัย โดย นายนิรัตนิศัย อ้ายปั่น,New Build,39,81623,13.742222,100.585833,-4
Education/School,13574.00,Bangkok,บางขุนเทียน,Bang Khun Thian,แสมดำ,บริษัท อาร์ทูตีวัน จำกัด โดย นายศิริเทพ ทองสิมา นางสมเพ็ญ ทองสิมา,Adapt/Renovate,21,165491,13.660833,100.435833,0
Education/School,10721.00,Bangkok,บางขุนเทียน,Bang Khun Thian,แสมดำ,บริษัท อาร์ทูตีวัน จำกัด โดย นายศิริเทพ ทองสิมา นางสมเพ็ญ ทองสิมา,Adapt/Renovate,21,165491,13.660833,100.435833,0
Education/School,3818.00,Bangkok,ภาษีเจริญ,Phasi Charoen,คลองขวาง,โรงเรียนนานาชาติสิงคโปร์ธนบุรี โดย นาง ปานทิพย์ กลยนีย์,New Build,22,129827,13.714722,100.437222,-1
Education/School,3696.00,Bangkok,บางเขน,Bang Khen,ท่าแร้ง,บริษัท สินธุ์สยามภัค จำกัด โดย นางพิมพ์ อนงค์ สินภัทรบดี,New Build,5,189539,13.873889,100.596389,-1
Education/School,47.48,Bangkok,บางขุนเทียน,Bang Khun Thian,แสมดำ,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน) โดยนายเอกชัย สิริภัทรานันท์,Adapt/Renovate,21,165491,13.660833,100.435833,0
Office,8575.00,Bangkok,บางนา,Bang Na,บางนา,บริษัท ภิรัชบุรี จำกัด  โดย นายประสาน ภิรชัยบุรี,New Build,47,95912,13.680081,100.5918,-5
Office,7920.00,Bangkok,หนองจอก,Nong Chok,กระทุ่มราย,บริษัท ซีอาร์ซี ไทวัสดุ จํากัด โดย นายเศรฐ วิชช์ โสภาภัณณฑ์ (ผู้รับมอบอํานาจ),New Build,3,157138,13.855556,100.8625,0
Office,7654.00,Bangkok,หลักสี่,Lak Si,ตลาดบางเขน,บริษัท  เอสดี มอเตอร์ จำกัด  โดย นายพอล ซาน อิง เชง และ นายโกวิทย์ จารุโกวิท,New Build,41,109770,13.8875,100.578889,-5
Office,114646.00,Bangkok,จตุจักร,Chatuchak,จอมพล,บริษัท  ธนาคารทหารไทย จํากัด (มหาชน) โดย นายปิติ ตัณฑเกษม,Adapt/Renovate,30,160906,13.828611,100.559722,-4
Office,2743.00,Bangkok,จตุจักร,Chatuchak,ลาดยาว,บริษัท  อาร์เอ็มเอส ควอลิตี้ จํากัด โดย นาย ภาณุ คุณวัฒน์,Adapt/Renovate,30,160906,13.828611,100.559722,-4
Office,4943.00,Bangkok,บึงกุ่ม,Bueng Kum,สะพานสูง,บริษัท ซีอาร์ซี ไทวัสดุ จํากัด โดย นายเศรฐ วิชช์ โสภาภัณณฑ์ (ผู้รับมอบอํานาจ),New Build,27,145830,13.785278,100.669167,0
Office,100090.00,Bangkok,สาทร,Sathon,ยานนาวา,บริษัท ต้น  ตระกูล จํากัด และ บริษัท  สมบัติ เติมตระกูล จำกัด  โดย นายชูวิทย์ กมลวิศิษฏ์,Adapt/Renovate,28,84916,13.708056,100.526389,-4
Office,7.69,Bangkok,หลักสี่,Lak Si,ตลาดบางเขน,บริษัท เพอร์ฟอร์แมนซ์ มอเตอร์ส ดอนเมือง,Adapt/Renovate,41,109770,13.8875,100.578889,-5
Office,37.09,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,บริษัท วี อินเทลลิเจนซ์ จำกัด โดยนายสาธิต วิทยากร นายวีระ ศรีชนะชัยโชค,Adapt/Renovate,39,81623,13.742222,100.585833,-4
Office,5158.00,Bangkok,สายไหม,Sai Mai,ออเงิน,บริษัท  ออโต้ แกลเลอรี่ สุขุมวิท จำกัด  โดย นายธรรมรัตน์ โพธิ์ใบกุล,New Build,42,188123,13.919167,100.645833,0
Office,5155.00,Bangkok,ดอนเมือง,Don Mueang,ตลาดบางเขน*,โดย นายณสพน โพธิ์วิจิตร นายณสกล โพธิ์ วิจิตร,New Build,36,166261,13.913611,100.589722,-3
Office,14389.00,Bangkok,บางรัก,Bang Rak,สุริยวงศ์,นายทัศนวัต  สมบุญ,Adapt/Renovate,4,45875,13.730833,100.524167,-3
Office,55176.00,Bangkok,บางรัก,Bang Rak,สุริยวงศ์,บริษัท  ธนิยะ จำกัด  โดย นางสุนนทา สมบุญ สมบุญธรรม นายทศนวัต สมบุญธรรม,Adapt/Renovate,4,45875,13.730833,100.524167,-3
Office,9958.00,Bangkok,วังทองหลาง,Wang Thonglang,วังทองหลาง,บริษัท ฟ้าบันดาลทรัพย์ จํากัด โดย นาย ประสิทธิ์ เสาวรัติธาดา,Adapt/Renovate,45,114768,13.7864,100.6087,-1
Office,6684.00,Bangkok,บางบอน,Bang Bon,บางบอน,จำกัด  โดย นายสราวุฒิ อยู่วิทยา นางสาวนุช รี อยู่วิทยา,New Build,50,105161,13.6592,100.3991,0
Office,24.97,Bangkok,พระโขนง,Phra Khanong,*พระโขนง,บริษัท นายเลิศ จำกัด โดยนางสัณหพิศ สมบัติศิริ,New Build,9,93482,13.702222,100.601667,-5
Office,6741.00,Bangkok,จตุจักร,Chatuchak,จันทรเกษม,บริษัท อมร เพรสทีจ จำกัด โดย นางสาว อร พันธ์ ตั้งบรรยงค์ นางสาววรรณา ตั้งบรรยงค์,New Build,30,160906,13.828611,100.559722,-4
Office,3430.00,Bangkok,ประเวศ,Prawet,หนองบอน,บริษัท พาราไดซ์ เพลส สวนหลวง จำกัด โดย นายรุ่งโรจน์ สุวรรณนพคุณ (ผู้รับมอบ อำนาจ),Adapt/Renovate,32,160671,13.716944,100.694444,-4
Office,23275.00,Bangkok,ภาษีเจริญ,Phasi Charoen,บางหว้า,บริษัท โฮม โปรดักส์ เซนเตอร์ จำกัด (มหาชน) โดย นางสาวปวีณา ประสาวะนัง  (ผู้รับมอบอำนาจ),Adapt/Renovate,22,129827,13.714722,100.437222,-1
Office,6109.00,Bangkok,บางกะปิ,Bang Kapi,คลองจั่น,บริษัท ไพรเวท เนอวานา จำกัด โดย นาย เกตุชัย นรเชษฐวุฒิวัย,Adapt/Renovate,6,148465,13.765833,100.647778,-4
Office,20168.00,Bangkok,ราชเทวี,Ratchathewi,มักกะสัน,บริษัท แพลน บี โฮลติ้ง จํากัด โดย นายปริ นทร์ โลจนะโกสินทร์,New Build,37,73035,13.758889,100.534444,-5
Office,5060.00,Bangkok,ลาดกระบัง,Lat Krabang,ทับยาว,บริษัท บีบี แคปปิตอล จำกัด โดย นาง ประภาพร ขุมทอง (ผู้รับมอบอำนาจ),New Build,11,163175,13.722317,100.759669,-3
Office,18696.00,Bangkok,บางนา,Bang Na,บางนา,บริษัท อาคารภคินท์ จํากัด  โดย นายกําพล  ธนถิตกุล,Adapt/Renovate,47,95912,13.680081,100.5918,-5
Office,8002.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,นางสาววันเพ็ญ สมภพ รุ่งโรจน์ นายจิรเดช สมภพรุ่งโรจน์,New Build,39,81623,13.742222,100.585833,-4
Office,5698.00,Bangkok,บางกะปิ,Bang Kapi,หัวหมาก,บริษัท กรุงเทพธนาคม จํากัด โดย นายปิยะ พูดคล่อง นายมานิต เตชอภิโชค,Adapt/Renovate,6,148465,13.765833,100.647778,-4
Office,37132.00,Bangkok,ยานนาวา,Yan Nawa,ช่องนนทรี,บริษัท ทีอาร์อาร์ พรอพเพอร์ตี้ จำกัด โดย นายสุจิจต์ มั่นคงเจริญ นายชนะ อัษฎาธร,Adapt/Renovate,12,81521,13.696944,100.543056,0
Office,7184.00,Bangkok,บางขุนเทียน,Bang Khun Thian,แสมดำ,นางกนกพร กาญจนกังวาลกุล (ผู้รับมอบ อำนาจ),Adapt/Renovate,21,165491,13.660833,100.435833,0
Office,6.29,Bangkok,สาทร,Sathon,ยานนาวา,บริษัท แอปปอน จำกัด โดยนางสาวปิยะนุช ประเทืองพัฒนากุล,Adapt/Renovate,28,84916,13.708056,100.526389,-4
Office,7.12,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,บริษัท ภิรชบุรี จำกัด โดยนายประสาน ภิชรบุรี,Adapt/Renovate,39,81623,13.742222,100.585833,-4
Office,139.90,Bangkok,บางคอแหลม,Bang Kho Laem,บางโคล่,บริษัท แอล เอช มอลล์ แอนด์ โฮเทล จำกัด โดยนายประเสริฐ ศรีอุฬารพงศ์,Adapt/Renovate,31,94956,13.693333,100.5025,0
Office,288.65,Bangkok,บางขุนเทียน,Bang Khun Thian,แสมดำ,บริษัท เซนทรัล ัฒนา พระราม2 จำกัด โดยนายอมรศักดิ์ วรรณฤกษ์ (ผู้รับมอบอำนาจ),Adapt/Renovate,21,165491,13.660833,100.435833,0
Office,62.78,Bangkok,ดินแดง,Din Daeng,ดินแดง,นางสาวลำดวน เพ็ชรสีเขียว นายธาดา เพ็ญชีพ,Adapt/Renovate,26,130220,13.769722,100.552778,-5
Office,28.22,Bangkok,บางนา,Bang Na,บางนา,บริษัท โฮม โปรดักชั่นส์ เซ็นเตอร์ จำกัด (มหาชน) โดยนายคุณวุฒิ ธรรมพรหมกุล,New Build,47,95912,13.680081,100.5918,-5
Office,3.98,Bangkok,บางกะปิ,Bang Kapi,หัวหมาก,บริษัท ซันเวนดิ้ง เทคโนโลยี จำกัด (มหาชน),New Build,6,148465,13.765833,100.647778,-4
Office,2.44,Bangkok,บางกะปิ,Bang Kapi,หัวหมาก,บริษัท ซันเวนดิ้ง เทคโนโลยี จำกัด (มหาชน),New Build,6,148465,13.765833,100.647778,-4
Office,22937.00,Bangkok,จตุจักร,Chatuchak,ลาดยาว,บริษัท โรงพยาบาลวิภาวดี จํากดั  (มหาชน) โดยนางสาวปิติมน ตะเคียน (ผู้รับมอบอํานาจ),Adapt/Renovate,30,160906,13.828611,100.559722,-4
Office,9984.00,Bangkok,ราชเทวี,Ratchathewi,ถนนเพชรบุรี,บริษัท วี-ชัวร์ กรุ๊ป จำกัด โดย นางสาวนภัส พร รื่นจิตร์,New Build,37,73035,13.758889,100.534444,-5
Office,9958.00,Bangkok,ราชเทวี,Ratchathewi,ถนนเพชรบุรี,บริษัท วี-ชัวร์ กรุ๊ป จำกัด โดย นางสาวนภัสพร รื่นจิตร์,New Build,37,73035,13.758889,100.534444,-5
Office,6684.00,Bangkok,บางบอน,Bang Bon,บางบอน,นายสราวุฒิ อยู่วิทยา นางสาวนุช รี อยู่วิทยา,Adapt/Renovate,50,105161,13.6592,100.3991,0
Office,286.72,Bangkok,บางขุนเทียน,Bang Khun Thian,แสมดำ,บริษัท เซนทรัล ัฒนา พระราม2 จำกัด โดยนายอมรศักดิ์ วรรณฤกษ์ (ผู้รับมอบอำนาจ),Adapt/Renovate,21,165491,13.660833,100.435833,0
Condo,25985.00,Bangkok,บางกอกน้อย,Bangkok Noi,บางขุนศรี,บริษัท โฮม โปรดักส์ เซนเตอร์ จำกัด  (มหาชน) โดย นายมานิต อุดมคุณธรรม นาย คุณวุฒิ ธรรมพรหมกุล,Adapt/Renovate,20,117793,13.770867,100.467933,0
